,genre,artists
851,latin,Feid;Sky Rompiendo
852,dance,Wiz Khalifa
853,country,Ingrid Andress
854,disney,SHIKI THEATRE COMPANY
855,idm,Bogdan Raczynski
856,iranian,From The Vastland
857,j-idol,BiS
858,alt-rock,Smash Mouth
859,brazil,Antônio Carlos Jobim
860,tango,Astor Piazzolla
861,children,Tatiana
862,forro,Luiz Gonzaga
863,dance,Ellie Goulding;Juice WRLD
864,blues,Etta James
865,country,Kacey Musgraves
866,heavy-metal,Kotiteollisuus
867,sertanejo,Eduardo Costa
868,sleep,Avslappning Sound
869,study,wavcrush
870,metal,Disturbed
871,salsa,Grupo Niche
872,hardcore,Crystal Castles
873,alternative,Royal & the Serpent
874,hip-hop,Yo Yo Honey Singh
875,electro,Lauv
876,alternative,The Knocks;Rivers Cuomo;Royal & the Serpent
877,acoustic,The Civil Wars
878,club,Linn da Quebrada
879,power-pop,Screeching Weasel
880,spanish,David Bisbal
881,latin,"Tito ""El Bambino"";Randy"
882,dancehall,Omah Lay
883,edm,Zedd;Alessia Cara
884,funk,Smokey Robinson & The Miracles
885,hip-hop,Don Omar;Zion & Lennox
886,sad,Ollie
887,chicago-house,Mark Farina
888,singer-songwriter,Lauren Spencer Smith
889,british,Ben Howard
890,grunge,Stone Temple Pilots
891,happy,S3RL
892,rockabilly,Crazy Ken Band
893,ambient,Jóhann Jóhannsson
894,new-age,Bernward Koch
895,indie-pop,The Yellow Diary
896,grindcore,Weekend Nachos
897,edm,Galantis
898,opera,Michael Ball;Alfie Boe
899,forro,Zé Vaqueiro
900,techno,Hozho
901,minimal-techno,Worakls
902,guitar,Ichika Nito
903,pagode,Mumuzinho
904,death-metal,DeadSquad
905,show-tunes,"Original (German) Cast of ""Tanz Der Vampire"""
906,deep-house,Y.V.E. 48
907,alt-rock,Radiohead
908,grunge,Godsmack
909,j-idol,BiSH
910,forro,Kevi Jonny
911,party,Die Draufgänger
912,folk,Fossils
913,pagode,Kamisa 10
914,k-pop,Alka Yagnik;Udit Narayan
915,pop,David Guetta;MistaJam;John Newman
916,punk-rock,The Minds Of 99
917,samba,Jorge Ben Jor
918,malay,Najim Arshad
919,r-n-b,Barão Vermelho
920,disco,Kool & The Gang
921,romance,Владимир Бунчиков
922,grunge,Lifehouse
923,mandopop,Eric Chou
924,iranian,Porya Hatami
925,hip-hop,Daddy Yankee;Wisin & Yandel
926,trip-hop,Boards of Canada
927,british,Amy Winehouse
928,afrobeat,Jor'dan Armstrong
929,edm,David Guetta;Bebe Rexha
930,heavy-metal,Plan 4
931,acoustic,Andrew Belle
932,disco,Rick James
